CustomerID,CustomerType,Stage,Tenure,Plan,PaymentMethod,MonthlyCharges,TotalCharges,Churn Status
PR000001,Entrepreneur,0,7,Half Yearly,Credit Card,1899,13293,No
INF00001,Influencer,1,4,Month-to-Month,Debit Card,1999,7996,Yes
INF00002,Influencer,0,2,Month-to-Month,UPI,1999,3998,Yes
PR000002,Entrepreneur,0,3,Month-to-Month,UPI,1999,5997,No
PR000003,Entrepreneur,1,10,Annual,UPI,1799,17990,Yes
INF00003,Influencer,1,4,Month-to-Month,Credit Card,1999,7996,Yes
STA00001,Startup,0,6,Annual,UPI,1799,10794,No
INF00004,Influencer,0,3,Half Yearly,Debit Card,1899,5697,Yes
STA00002,Startup,0,17,Month-to-Month,Credit Card,1999,33983,No
PR000004,Entrepreneur,1,1,Half Yearly,Credit Card,1899,1899,Yes
INF00005,Influencer,0,1,Month-to-Month,Credit Card,1999,1999,Yes
PR000005,Entrepreneur,0,15,Annual,Debit Card,1799,26985,No
INF00006,Influencer,0,6,Half Yearly,Credit Card,1899,11394,Yes
PR000006,Entrepreneur,0,3,Month-to-Month,Credit Card,1999,5997,Yes
INF00007,Influencer,0,10,Annual,Credit Card,1799,17990,No
PR000007,Entrepreneur,0,6,Half Yearly,Debit Card,1899,11394,No
STA00003,Startup,0,2,Annual,Debit Card,1799,3598,No
PR000008,Entrepreneur,1,8,Half Yearly,Credit Card,1899,15192,No
PR000009,Entrepreneur,1,9,Annual,UPI,1799,16191,Yes
STA00004,Startup,0,6,Half Yearly,Credit Card,1899,11394,No
PR000010,Entrepreneur,1,14,Month-to-Month,Credit Card,1999,27986,Yes
INF00008,Influencer,1,10,Month-to-Month,Debit Card,1999,19990,Yes
PR000011,Entrepreneur,0,3,Half Yearly,UPI,1899,5697,No
INF00009,Influencer,0,12,Annual,UPI,1799,21588,No
INF00010,Influencer,0,1,Month-to-Month,UPI,1999,1999,Yes
INF00011,Influencer,0,4,Month-to-Month,Credit Card,1999,7996,Yes
STA00005,Startup,1,11,Annual,Debit Card,1799,19789,No
INF00012,Influencer,1,5,Half Yearly,Debit Card,1899,9495,Yes
PR000012,Entrepreneur,0,4,Month-to-Month,UPI,1999,7996,No
INF00013,Influencer,1,9,Half Yearly,Credit Card,1899,17091,Yes
STA00006,Startup,0,9,Month-to-Month,Credit Card,1999,17991,No
INF00014,Influencer,1,7,Half Yearly,Credit Card,1899,13293,Yes
INF00015,Influencer,1,5,Month-to-Month,UPI,1999,9995,Yes
PR000013,Entrepreneur,0,2,Half Yearly,Debit Card,1899,3798,Yes
STA00007,Startup,1,4,Half Yearly,Credit Card,1899,7596,No
INF00016,Influencer,1,1,Month-to-Month,Debit Card,1999,1999,No
STA00008,Startup,0,2,Half Yearly,Credit Card,1899,3798,No
STA00009,Startup,0,4,Half Yearly,Credit Card,1899,7596,No
PR000014,Entrepreneur,1,1,Annual,Credit Card,1799,1799,Yes
PR000015,Entrepreneur,0,13,Half Yearly,Credit Card,1899,24687,No
INF00017,Influencer,0,19,Annual,Debit Card,1799,34181,No
STA00010,Startup,0,7,Annual,Credit Card,1799,12593,No
PR000016,Entrepreneur,0,2,Half Yearly,Credit Card,1899,3798,Yes
PR000017,Entrepreneur,0,23,Annual,UPI,1799,41377,No
PR000018,Entrepreneur,0,5,Month-to-Month,UPI,1999,9995,No
INF00018,Influencer,1,5,Half Yearly,Debit Card,1899,9495,Yes
INF00019,Influencer,0,23,Annual,Debit Card,1799,41377,No
PR000019,Entrepreneur,0,2,Month-to-Month,Credit Card,1999,3998,Yes
INF00020,Influencer,0,3,Month-to-Month,Debit Card,1999,5997,Yes
INF00021,Influencer,0,5,Month-to-Month,UPI,1999,9995,Yes
INF00022,Influencer,1,9,Half Yearly,Credit Card,1899,17091,Yes
PR000020,Entrepreneur,0,3,Half Yearly,Debit Card,1899,5697,No
PR000021,Entrepreneur,1,6,Annual,Credit Card,1799,10794,No
PR000022,Entrepreneur,1,7,Half Yearly,Debit Card,1899,13293,No
PR000023,Entrepreneur,0,11,Month-to-Month,Credit Card,1999,21989,Yes
INF00023,Influencer,1,4,Half Yearly,Credit Card,1899,7596,Yes
STA00011,Startup,0,7,Half Yearly,UPI,1899,13293,No
STA00012,Startup,1,11,Annual,UPI,1799,19789,No
PR000024,Entrepreneur,0,6,Half Yearly,Debit Card,1899,11394,No
PR000025,Entrepreneur,1,1,Annual,Debit Card,1799,1799,Yes
PR000026,Entrepreneur,1,19,Annual,Credit Card,1799,34181,No
INF00024,Influencer,0,13,Half Yearly,Credit Card,1899,24687,No
PR000027,Entrepreneur,0,3,Half Yearly,Debit Card,1899,5697,No
STA00013,Startup,1,3,Half Yearly,Debit Card,1899,5697,No
PR000028,Entrepreneur,0,10,Month-to-Month,UPI,1999,19990,No
STA00014,Startup,0,7,Half Yearly,Credit Card,1899,13293,No
STA00015,Startup,1,15,Annual,UPI,1799,26985,No
STA00016,Startup,0,14,Half Yearly,Debit Card,1899,26586,No
PR000029,Entrepreneur,0,10,Annual,Debit Card,1799,17990,No
INF00025,Influencer,1,4,Month-to-Month,Credit Card,1999,7996,Yes
PR000030,Entrepreneur,1,5,Annual,Debit Card,1799,8995,No
STA00017,Startup,0,17,Annual,Credit Card,1799,30583,No
INF00026,Influencer,0,2,Annual,UPI,1799,3598,Yes
STA00018,Startup,0,5,Half Yearly,Credit Card,1899,9495,No
STA00019,Startup,1,6,Half Yearly,Debit Card,1899,11394,No
INF00027,Influencer,0,6,Half Yearly,Debit Card,1899,11394,Yes
PR000031,Entrepreneur,0,3,Half Yearly,UPI,1899,5697,No
INF00028,Influencer,1,4,Month-to-Month,Debit Card,1999,7996,Yes
INF00029,Influencer,1,23,Annual,Credit Card,1799,41377,No
INF00030,Influencer,1,4,Half Yearly,Debit Card,1899,7596,Yes
INF00031,Influencer,0,4,Month-to-Month,Credit Card,1999,7996,Yes
STA00020,Startup,0,14,Half Yearly,Debit Card,1899,26586,No
PR000032,Entrepreneur,0,8,Annual,UPI,1799,14392,No
STA00021,Startup,1,6,Half Yearly,Debit Card,1899,11394,No
INF00032,Influencer,0,12,Month-to-Month,UPI,1999,23988,Yes
INF00033,Influencer,1,3,Month-to-Month,Credit Card,1999,5997,Yes
INF00034,Influencer,1,12,Half Yearly,UPI,1899,22788,No
STA00022,Startup,1,5,Month-to-Month,Debit Card,1999,9995,Yes
INF00035,Influencer,1,2,Half Yearly,UPI,1899,3798,Yes
STA00023,Startup,1,8,Half Yearly,Debit Card,1899,15192,No
STA00024,Startup,0,8,Month-to-Month,Debit Card,1999,15992,Yes
INF00036,Influencer,1,3,Month-to-Month,UPI,1999,5997,Yes
INF00037,Influencer,1,9,Month-to-Month,UPI,1999,17991,Yes
INF00038,Influencer,1,20,Annual,Debit Card,1799,35980,No
INF00039,Influencer,0,1,Month-to-Month,UPI,1999,1999,Yes
PR000033,Entrepreneur,1,10,Half Yearly,Debit Card,1899,18990,Yes
PR000034,Entrepreneur,1,2,Month-to-Month,Credit Card,1999,3998,Yes
STA00025,Startup,0,7,Half Yearly,UPI,1899,13293,No
INF00040,Influencer,1,2,Month-to-Month,Debit Card,1999,3998,Yes
PR000035,Entrepreneur,0,3,Month-to-Month,Credit Card,1999,5997,Yes
PR000036,Entrepreneur,1,10,Half Yearly,UPI,1899,18990,No
STA00026,Startup,0,4,Month-to-Month,Credit Card,1999,7996,No
PR000037,Entrepreneur,1,3,Half Yearly,Debit Card,1899,5697,No
INF00041,Influencer,1,2,Annual,UPI,1799,3598,Yes
PR000038,Entrepreneur,1,2,Half Yearly,Debit Card,1899,3798,Yes
INF00042,Influencer,0,5,Month-to-Month,Credit Card,1999,9995,No
INF00043,Influencer,1,4,Month-to-Month,Debit Card,1999,7996,Yes
INF00044,Influencer,0,1,Month-to-Month,Debit Card,1999,1999,Yes
STA00027,Startup,1,10,Annual,Debit Card,1799,17990,No
INF00045,Influencer,1,4,Month-to-Month,UPI,1999,7996,Yes
INF00046,Influencer,0,4,Month-to-Month,Debit Card,1999,7996,Yes
STA00028,Startup,0,1,Annual,UPI,1799,1799,No
STA00029,Startup,0,3,Half Yearly,Credit Card,1899,5697,No
PR000039,Entrepreneur,1,5,Annual,Debit Card,1799,8995,No
STA00030,Startup,1,9,Month-to-Month,UPI,1999,17991,No
INF00047,Influencer,1,5,Half Yearly,Credit Card,1899,9495,Yes
STA00031,Startup,0,1,Half Yearly,UPI,1899,1899,No
INF00048,Influencer,0,4,Half Yearly,Credit Card,1899,7596,Yes
STA00032,Startup,0,3,Month-to-Month,Credit Card,1999,5997,No
INF00049,Influencer,1,4,Half Yearly,UPI,1899,7596,Yes
STA00033,Startup,1,22,Half Yearly,Debit Card,1899,41778,No
PR000040,Entrepreneur,1,24,Annual,Credit Card,1799,43176,No
INF00050,Influencer,1,11,Half Yearly,Debit Card,1899,20889,Yes
STA00034,Startup,1,9,Month-to-Month,UPI,1999,17991,No
PR000041,Entrepreneur,0,6,Month-to-Month,Debit Card,1999,11994,No
INF00051,Influencer,1,1,Half Yearly,UPI,1899,1899,Yes
STA00035,Startup,1,2,Half Yearly,UPI,1899,3798,No
INF00052,Influencer,0,13,Annual,Credit Card,1799,23387,No
STA00036,Startup,0,7,Half Yearly,Credit Card,1899,13293,No
STA00037,Startup,0,5,Half Yearly,UPI,1899,9495,No
STA00038,Startup,0,7,Half Yearly,Credit Card,1899,13293,No
INF00053,Influencer,1,2,Month-to-Month,Credit Card,1999,3998,Yes
STA00039,Startup,0,5,Month-to-Month,Credit Card,1999,9995,No
STA00040,Startup,0,1,Month-to-Month,Credit Card,1999,1999,No
PR000042,Entrepreneur,0,2,Half Yearly,Debit Card,1899,3798,Yes
INF00054,Influencer,1,4,Month-to-Month,Debit Card,1999,7996,Yes
STA00041,Startup,0,12,Half Yearly,Credit Card,1899,22788,No
PR000043,Entrepreneur,1,20,Annual,UPI,1799,35980,No
STA00042,Startup,1,8,Half Yearly,UPI,1899,15192,No
PR000044,Entrepreneur,0,4,Month-to-Month,Credit Card,1999,7996,No
INF00055,Influencer,1,4,Month-to-Month,Credit Card,1999,7996,Yes
PR000045,Entrepreneur,0,6,Annual,UPI,1799,10794,No
PR000046,Entrepreneur,0,6,Month-to-Month,Credit Card,1999,11994,No
INF00056,Influencer,0,8,Half Yearly,UPI,1899,15192,Yes
STA00043,Startup,0,3,Annual,Debit Card,1799,5397,No
PR000047,Entrepreneur,0,6,Annual,UPI,1799,10794,No
STA00044,Startup,0,14,Annual,UPI,1799,25186,No
PR000048,Entrepreneur,0,3,Half Yearly,UPI,1899,5697,No
INF00057,Influencer,1,3,Half Yearly,Debit Card,1899,5697,Yes
PR000049,Entrepreneur,0,19,Annual,Credit Card,1799,34181,No
PR000050,Entrepreneur,1,2,Half Yearly,Credit Card,1899,3798,Yes
PR000051,Entrepreneur,0,24,Annual,Debit Card,1799,43176,No
INF00058,Influencer,0,13,Annual,UPI,1799,23387,No
INF00059,Influencer,0,6,Annual,UPI,1799,10794,Yes
PR000052,Entrepreneur,0,8,Month-to-Month,Debit Card,1999,15992,No
PR000053,Entrepreneur,0,6,Annual,Credit Card,1799,10794,No
